Date,BP,COP,CVX,EQNR,OKE,PXD,XOM
6/13/2011,42.69,53.93,98.93,24.54,30.13,83.66,79.23
6/14/2011,43.47,54.79,100.6,24.96,30.51,85.46,80.38
6/15/2011,41.95,53.8,98.41,23.81,30.08,84.23,78.66
6/16/2011,41.8,54.6,99.43,23.7,29.95,84.8,79.22
6/17/2011,42.16,54.83,99.17,23.73,30.37,84.4,79.02
6/20/2011,41.84,55.09,99.91,23.82,30.94,84.49,79.71
6/21/2011,43.4,56.21,101.59,24.69,31.43,87.07,80.57
6/22/2011,43.11,55.87,101.07,24.55,31.52,86.36,79.82
6/23/2011,42.58,55.65,99.36,24.05,31.66,85.84,78.44
6/24/2011,41.9,54.45,97.9,23.44,32.07,84.44,76.78
6/27/2011,42.25,54.72,98.9,23.71,32.17,85.07,77.92
6/28/2011,42.76,55.85,100.35,24.22,32.04,87.14,79.63
6/29/2011,43.47,56.43,101.28,24.99,32.34,88.87,80.25
6/30/2011,44.29,57.32,102.84,25.45,32.4,89.57,81.38
7/1/2011,44.62,57.84,104.09,25.94,32.98,90.1,82.01
7/5/2011,44.21,57.82,105.12,25.51,32.93,90.99,81.6
7/6/2011,43.91,57.96,105.08,25.31,33.06,91.28,81.57
7/7/2011,44.54,58.51,106.59,25.78,33,92.51,82.36
7/8/2011,44.51,57.87,105.89,25.11,32.94,91.14,82.42
7/11/2011,43.84,56.95,104.41,24.42,32.41,87.57,81.9
7/12/2011,43.41,56.67,104.39,23.96,32.34,87.37,81.89
7/13/2011,43.74,56.72,105.09,24.46,32.3,87.63,82.48
7/14/2011,44.34,57.64,104.67,23.88,32.23,86.09,82.24
7/15/2011,44.33,58.26,106.19,24.24,32.57,95.03,83
7/18/2011,44.31,57.51,106.23,23.95,32.37,93.36,82.65
7/19/2011,44.96,57.5,107.48,24.39,32.76,97.41,83.63
7/20/2011,45.76,57.26,107.1,24.76,32.62,97.02,83.3
7/21/2011,46.04,57.79,109.43,25.2,33.25,98.39,85.02
7/22/2011,46.2,57.37,108.97,25.1,33.11,99.53,85.22
7/25/2011,46.77,56.83,108.1,25.02,32.91,98.4,84.57
7/26/2011,46.18,56.11,107.57,25.18,32.69,97.56,84.37
7/27/2011,44.92,55.75,105.63,24.51,32.32,94.86,83.31
